h,w,time,iterations
4,4,4.93436,31532
4,4,5.70675,36378
4,4,1.53153,9651
4,4,0.466243,2951
4,4,0.093525,600
4,4,7.44801,47233
4,4,8.63634,55071
4,4,0.587204,3673
4,4,6.99837,44596
4,4,2.45471,15774
4,4,0.0767777,490
4,4,0.152882,965
4,4,2.26235,14457
4,4,0.267388,1704
4,4,5.79838,36967
4,4,0.855381,5438
4,4,5.41414,34588
4,4,2.38927,15234
4,4,5.52516,35355
4,4,6.9248,44342
4,4,0.200288,1309
4,4,5.60153,35688
4,4,0.981407,6269
4,4,3.51772,22360
4,4,3.03594,19218
4,4,6.00555,38279
4,4,13.1389,83592
4,4,3.37001,21390
4,4,4.31602,27419
4,4,8.98168,56965
4,4,5.11529,32460
4,4,5.68547,36201
4,4,0.107589,705
4,4,6.16509,39226
5,2,1.27151,8505
5,2,3.24652,21404
5,2,1.58194,10470
5,2,2.21491,14724
5,2,2.92657,19363
5,2,0.137948,912
5,2,6.47895,42379
5,2,7.24226,47403
5,2,0.242403,1616
5,2,1.14145,7517
5,2,3.3327,22097
5,2,2.01646,13339
5,2,3.45195,22815
5,2,0.755359,5007
5,2,0.955154,6382
5,2,6.17543,40762
5,2,0.279265,1853
5,2,3.18934,20862
5,2,5.73419,37837
5,2,1.21726,8110
5,2,6.6489,43777
5,2,3.47963,22886
5,2,5.79536,37953
5,2,3.44288,22724
5,2,0.262417,1773
5,2,1.2377,8212
5,2,4.77802,31669
5,2,6.95402,45923
5,2,0.0993194,643
5,2,1.28075,8443
5,2,1.39373,9280
5,2,3.40117,22302
5,2,7.45224,49042
5,2,1.87329,12352
5,2,5.08081,33636
5,2,1.75486,11678
5,2,2.21889,14475
5,2,0.100255,654
5,2,2.81812,18621
5,2,5.78598,38025
5,2,0.17832,1162
5,2,0.195173,1274
5,2,0.971982,6388
5,2,0.908796,6035
5,2,1.64037,10898
5,2,1.73744,11563
5,2,7.86275,52226
5,2,1.70834,11243
5,2,0.0371766,229
5,2,0.0325578,217
5,3,1.28495,8209
5,3,4.54619,29026
5,3,2.84862,18070
5,3,1.43237,9074
5,3,6.25615,39920
5,3,6.19449,39223
5,3,13.3069,84017
5,3,3.55849,22646
5,3,4.07589,25798
5,3,3.73217,23708
5,3,4.01418,25654
5,3,1.83377,11788
5,3,0.879442,5622
5,3,5.02768,32232
5,3,0.0866543,548
5,3,3.76675,24302
5,3,0.194863,1305
5,3,2.28379,14524
5,3,0.234933,1479
5,3,2.86648,18156
5,3,2.81839,17852
5,3,0.921034,5931
5,3,0.0217877,138
5,3,9.96406,63781
5,3,5.37911,34187
5,3,0.730264,4674
5,3,0.175012,1100
5,3,4.02429,25749
5,3,3.96072,25324
5,3,3.1757,20294
5,3,1.46704,9417
5,3,6.29004,40111
5,3,5.1744,33053
5,3,2.55271,16174
5,3,5.23099,33286
5,3,12.4037,79247
5,3,2.29034,14740
5,3,4.65309,29724
5,3,2.53773,16143
5,3,4.89053,31156
5,3,4.18307,26680
5,3,4.55308,28959
5,3,0.112277,711
5,3,0.049874,321
5,3,5.72157,36590
5,3,7.77708,49615
5,3,4.82441,30809
5,3,5.59234,36019
5,3,0.995578,6381
5,3,9.20672,58601
5,4,6.62705,41656
5,4,2.60366,16169
5,4,8.89222,55637
5,4,4.98767,31133
5,4,4.28063,26820
5,4,6.41782,40095
5,4,0.117717,732
5,4,8.20426,51314
5,4,6.36942,39790
5,4,3.96606,24594
5,4,0.805147,5055
5,4,3.96463,24842
5,4,3.97369,24973
5,4,6.61278,41311
5,4,0.12465,777
5,4,17.188,107133
5,4,11.2891,70486
5,4,3.25751,20525
5,4,4.73361,29430
5,4,2.57267,16232
5,4,14.7671,92149
5,4,13.3081,83324
