type,cpu,time,iterations
1,4,0.416979,2424
0,4,29.2519,187281
1,4,0.102701,358
0,6,0.0568563,42
1,6,0.0826138,0
0,6,0.894806,3738
1,6,16.468,54578
0,6,1.22131,3737
1,6,22.3396,74153
0,6,20.128,69028
1,6,0.0187242,0
0,6,10.6307,39270
1,6,3.37263,13157
0,8,1.26371,3659
1,8,2.17391,5214
0,8,25.3455,68648
1,8,20.2177,60103
0,8,7.66972,19635
1,8,1.86936,4992
0,8,19.1397,49026
1,8,6.29745,16286
0,8,10.1765,25346
1,8,1.41887,3706
0,12,0.274421,802
1,12,1.35223,4194
0,12,0.222342,640
1,12,2.73728,7812
0,12,2.26643,6531
1,12,1.7045,5056
0,12,10.7409,30758
1,12,1.15208,3587
0,12,0.136497,0
1,12,0.521858,1573
0,16,0.499374,969
1,16,1.5843,3757
0,16,8.90518,21643
1,16,1.29696,3255
0,16,3.82686,8872
1,16,8.04906,20787
0,16,6.12139,14993
1,16,3.48728,8651
0,16,1.56001,3452
1,16,0.458058,1159
0,24,6.6508,11260
1,24,1.36663,2365
0,24,6.6657,11304
1,24,3.52888,6287
0,24,8.51766,14406
1,24,2.10617,3711
0,24,2.96969,5015
1,24,2.94767,5062
0,24,11.6739,19653
1,24,2.11484,3762
0,32,0.542665,347
1,32,0.882111,710
0,32,0.645434,868
1,32,4.65456,6258
0,32,1.15269,1396
1,32,18.9886,25472
0,32,1.14231,1440
1,32,26.2415,34776
0,32,-3532.91,4998491
1,32,-3353.39,4999734
0,0,45.1292,577175
1,0,10.3526,132326
0,0,4.30346,53891
1,0,23.5898,302996
0,0,2.97295,35798
1,0,51.2927,654758
0,0,3.90967,55053
1,0,0.108008,1000
0,0,14.3146,183487
1,0,38.9027,482834
0,1,0.00869085,25
1,1,2.90241,22292
0,1,0.0592792,413
1,1,3.16758,29451
0,1,0.328149,2676
1,1,31.0801,245869
0,1,1.98161,16400
1,1,36.7355,303712
0,1,12.851,103304
1,1,1.01391,11727
0,2,5.0373,39394
1,2,4.54479,35724
0,2,0.053972,327
1,2,0.137195,707
0,2,10.0492,75234
1,2,0.0860818,423
0,2,0.294265,2000
1,2,0.0312611,0
0,2,0.298069,1874
1,2,0.507094,4264
0,4,0.0980914,0
1,4,6.63974,41840
0,4,21.8383,127105
1,4,15.22,99985
0,4,0.793222,4851
1,4,0.182473,941
0,4,14.5468,89497
1,4,2.10953,12478
0,4,0.0143538,0
1,4,27.6127,191254
0,6,0.195589,668
1,6,0.988234,3067
0,6,11.8535,38184
1,6,0.0493242,74
0,6,0.0159208,0
1,6,4.08338,18963
0,6,20.9746,68767
1,6,1.18794,3736
0,6,0.0824836,0
1,6,0.104093,128
0,8,0.0679618,0
1,8,12.4889,32463
0,8,4.99729,12715
1,8,0.314722,158
0,8,0.994578,3253
1,8,0.161129,334
0,8,0.309022,486
1,8,9.63258,25016
0,8,1.22587,3318
1,8,33.7117,89394
0,12,0.617424,1775
1,12,1.50685,4457
0,12,1.17005,3321
1,12,1.47199,4325
0,12,75.8919,203686
1,12,1.19595,3671
0,12,1.8951,5294
1,12,2.7246,7756
0,12,15.0788,40744
1,12,27.1655,75686
0,16,309.298,760122
1,16,1.36202,3090
0,16,0.0428255,0
1,16,1.23898,2236
0,16,7.10486,17202
1,16,2.07813,5201
0,16,1.7643,4192
1,16,2.80668,6842
0,16,0.115699,98
1,16,10.8237,27245
0,24,0.707472,365
1,24,3.84631,6601
0,24,18.6121,31614
1,24,1.47258,2647
0,24,2.38045,4022
1,24,2.12025,3390
0,24,21.4337,36347
1,24,8.76422,15654
0,24,0.522419,410
1,24,2.37191,4150
0,32,15.0339,19611
1,32,0.0843804,0
0,32,5.97065,7709
1,32,8.2486,10300
0,32,7.35256,9419
1,32,5.12484,6837
0,32,6.8218,8897
1,32,1.61637,2167
0,32,14.9576,19502
1,32,5.32523,7187
0,0,26.3189,329686
1,0,3.12449,46151
0,0,1.12628,13527
1,0,25.2759,323682
0,0,14.2867,175308
1,0,3.66888,46429
0,0,4.95506,62552
1,0,11.3183,145119
0,0,6.17133,75188
1,0,23.4661,294731
0,1,23.4584,180490
1,1,422.778,3318074
0,1,6.81443,51068
1,1,7.05387,55064
0,1,9.52045,76140
1,1,62.2668,509734
0,1,69.6208,535323
1,1,8.29598,64771
0,1,19.8301,155901
1,1,39.1841,317879
0,2,3.73886,26288
1,2,9.85383,72681
0,2,43.901,309656
1,2,11.0871,82144
0,2,36.8204,263766
1,2,10.9761,79616
0,2,1.3219,9954
1,2,19.0572,141965
0,2,1.04908,8485
1,2,13.5012,94363
0,4,1.48994,7539
1,4,0.508504,3949
0,4,0.420373,3000
1,4,2.02285,12156
