h,w,time,iterations
9,6,14.2269,76077
9,6,13.5091,69167
9,6,7.3009,39318
9,6,6.17952,33258
9,6,0.783523,4158
9,6,33.9748,175856
9,6,4.03059,21932
9,6,8.56637,46309
9,6,0.486584,2666
9,6,9.72731,51739
9,6,5.5852,30190
9,6,4.03337,21643
9,6,6.15007,32799
9,6,8.58336,46246
9,6,14.2442,75011
9,6,26.6786,140353
9,6,3.83799,20565
9,7,16.4326,85312
9,7,14.4851,74161
9,7,5.84892,30076
9,7,7.86643,40712
9,7,5.58393,28614
9,7,6.44205,33381
9,7,11.8267,61839
9,7,8.75459,45700
9,7,3.80525,19874
9,7,4.01383,20711
9,7,4.73554,24501
9,7,5.00412,25855
9,7,9.91996,51050
9,7,7.12636,36651
9,7,8.07145,41008
9,7,15.5648,79880
9,7,7.92829,40762
9,7,14.2402,73653
9,7,5.92914,30779
9,7,52.6849,271896
9,7,16.788,87160
9,7,19.9477,103372
9,7,7.28023,37641
9,7,8.78252,45517
9,7,7.82348,39009
9,7,8.37757,41033
9,7,13.6867,69510
9,7,8.20135,42270
9,7,10.4991,53794
9,7,10.4325,52604
9,7,9.05863,46760
9,7,9.91353,50902
9,7,7.81126,39838
9,7,7.82585,40594
9,7,8.76811,44717
9,7,6.44915,33163
9,7,7.3426,36944
9,7,3.4397,17711
9,7,5.13977,26508
9,7,10.6974,54661
9,7,11.4654,58607
9,7,2.0506,10300
9,7,8.30101,42753
9,7,11.966,61200
9,7,11.8284,61226
9,7,7.43744,37995
9,7,5.55726,28511
9,7,5.63171,29448
9,7,13.1059,68616
9,7,6.04773,31181
9,8,12.5462,62880
9,8,4.24693,21165
9,8,7.88075,39505
9,8,11.7282,58945
9,8,14.5,72280
9,8,8.59237,42856
9,8,6.09603,30377
9,8,10.7673,53770
9,8,8.11223,40654
9,8,7.80694,38827
9,8,7.08799,35652
9,8,17.579,88502
9,8,14.3517,72079
9,8,13.1073,65616
9,8,0.465429,2355
9,8,15.2433,76159
9,8,9.23688,44711
9,8,9.96347,49565
9,8,24.6685,122577
9,8,8.0081,39623
9,8,9.35437,46498
9,8,13.6812,68439
9,8,16.3266,81310
9,8,12.8434,64385
9,8,26.8812,134098
9,8,6.56789,32640
9,8,8.55032,43031
9,8,9.30024,46076
9,8,16.407,81829
9,8,5.03374,25091
9,8,8.12529,40034
9,8,8.65566,43481
9,8,7.67149,38706
9,8,8.75736,43824
9,8,0.0303116,146
9,8,8.67197,43899
9,8,6.95655,35024
9,8,6.93207,34678
9,8,6.86817,34760
9,8,8.12207,40830
9,8,9.40883,46753
9,8,5.61128,28261
9,8,7.44199,37321
9,8,8.28712,41550
9,8,15.6926,79027
9,8,12.5927,63355
9,8,8.45972,42244
9,8,6.55573,32779
9,8,6.82292,34360
9,8,5.69698,28243
9,9,0.640018,3191
9,9,19.1335,92440
9,9,6.69423,32614
9,9,10.634,51508
9,9,15.5145,75004
9,9,69.0021,333986
9,9,11.4172,54837
9,9,9.51754,45866
9,9,11.4731,55336
9,9,17.9381,86699
9,9,9.07347,44003
9,9,7.48393,35778
9,9,10.9101,52896
9,9,28.0386,135279
9,9,9.27148,45118
9,9,10.9807,52499
9,9,13.3022,64031
9,9,4.70773,22845
9,9,3.20219,15521
9,9,7.48594,36142
9,9,8.76146,42375
9,9,4.96384,23955
9,9,6.25356,30613
9,9,10.572,50627
9,9,9.048,42255
9,9,6.68343,31831
9,9,11.9708,57237
9,9,9.17175,43789
9,9,8.59929,38748
9,9,11.8598,55822
9,9,6.97198,33365
9,9,15.968,76826
9,9,5.58202,26777
9,9,12.9047,61917
9,9,10.3772,49501
9,9,10.2138,49065
9,9,9.22146,44406
9,9,9.84875,47625
9,9,11.9852,57971
9,9,10.4223,49968
9,9,15.2,72914
9,9,6.82104,32691
9,9,11.7042,55064
9,9,13.4952,62761
9,9,10.4218,47574
9,9,10.0191,47613
9,9,13.6011,63473
9,9,8.06972,39013
9,9,10.3212,49121
9,9,21.3678,102534
