started working
L,3e-05,3e-05,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,0.10723,0.10723,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,0.254972,0.254972,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,0.406083,0.406083,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,0.567014,0.567014,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,0.751266,0.751266,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,0.944418,0.944418,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,1.13335,1.13335,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,1.32963,1.32963,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,1.53271,1.53271,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
L,1.73809,1.73809,61986.7,61986.7,61986.7,61986.7,61986.8,61986.8,61986.8,61986.8,61986.6,61986.6,61986.8,61986.8,
U,1.92146,1.92146,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,1.988,1.988,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,2.13157,2.13157,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,2.31902,2.31902,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,2.50203,2.50203,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,2.69322,2.69322,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,2.89353,2.89353,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,3.08318,3.08318,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,3.27017,3.27017,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,3.46197,3.46197,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,3.6547,3.6547,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
L,3.84312,3.84312,1.92704,1.92704,1.92676,1.92676,1.97303,1.97303,1.96561,1.96561,1.92768,1.92768,1.94953,1.94953,
U,4.0247,4.0247,4.03061,4.03061,4.03015,4.03015,4.03078,4.03078,4.0663,4.0663,4.02984,4.02984,4.07907,4.07907,
L,4.09091,4.09091,4.03061,4.03061,4.03015,4.03015,4.03078,4.03078,4.0663,4.0663,4.02984,4.02984,4.07907,4.07907,
L,4.24594,4.24594,4.03061,4.03061,4.03015,4.03015,4.03078,4.03078,4.0663,4.0663,4.02984,4.02984,4.07907,4.07907,
L,4.44019,4.44019,4.03061,4.03061,4.03015,4.03015,4.03078,4.03078,4.0663,4.0663,4.02984,4.02984,4.07907,4.07907,
L,4.62961,4.62961,4.03061,4.03061,4.03015,4.03015,4.03078,4.03078,4.0663,4.0663,4.02984,4.02984,4.07907,4.07907,
L,4.79266,4.79266,4.03061,4.03061,4.03015,4.03015,4.03078,4.03078,4.0663,4.0663,4.02984,4.02984,4.07907,4.07907,
L,4.95034,4.95034,4.03061,4.03061,4.03015,4.03015,4.03078,4.03078,4.0663,4.0663,4.02984,4.02984,4.07907,4.07907,
L,5.10831,5.10831,4.03061,4.03061,4.03015,4.03015,4.03078,4.03078,4.0663,4.0663,4.02984,4.02984,4.07907,4.07907,
